TT Reference,Assigned to,Created,Customer TT Reference,Fault Resolution,Number,OOS Duration,OOS End Time,OOS Start Time,Opened,Primary Cause,Reconciled OOS Duration,Reconciled OOS End Time,Reconciled OOS Start Time,Resolution Comments,Root Cause 1,Root Cause 2,Root Cause 3,Site,State,Tenant,_id
TRB0703071,,09-05-2023 10:06:37,,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447343,482,09-05-2023 10:08:05,09-05-2023 10:00:03,09-05-2023 10:06:37,Customer Equipment,,,,"après investigation, le GE est en marche depuis 07h30, U=50.4V, aucune disjonction constat�e, Probléme actif",Active Failure,Active Failure,,MGAF0104,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb18c
TRB0703369,,09-05-2023 20:46:44,,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447513,2461,09-05-2023 20:50:26,09-05-2023 20:09:25,09-05-2023 20:46:44,Customer Equipment,,,,"Fotadrevo : apres investigation GE en repos depuis 17h00, voltage 49.8v , il demarera le GE demain à 08h00",Active Failure,Active Failure,,MGAF0219,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb18d
TRB0702951,,09-05-2023 07:28:56,,Temporary fix carried out,TTO000447321,977,09-05-2023 07:34:10,09-05-2023 07:17:53,09-05-2023 07:28:23,DG - Engine Start,,,,"après vérification le crémaillère a été bloqué au maximum, et le GE s'alarmait over frequency runaway et le GE s'est éteint et ne se d�marre pas; le FE a de le débloquer Le GE est maintenant en marche, U=53.2V",Engine Not Starting,DSE Configuration,,MGAF0458,Resolved,Airtel,644baafacd425e8ecc0cb18e
TRB0703304,,09-05-2023 17:52:33,,Temporary fix carried out,TTO000447471,312,09-05-2023 12:47:08,09-05-2023 12:41:56,09-05-2023 17:52:21,Rectifier,,,,"après vérification du voltage sur la trans, la tension sur site était instable, l'équipe  a guidé le vigile de reset les deux modules (par défauts), et la tension(sur la trans) augmente à 50V; Site  stable",Rectifier Module,Rectifier module faulty,,MGAF0458,Resolved,Airtel,644baafacd425e8ecc0cb18f
TRB0703181,,09-05-2023 14:03:40,N/a,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447398,309,09-05-2023 14:05:50,09-05-2023 14:00:41,09-05-2023 14:03:40,Customer Equipment,,,,No actions done,Active Failure,Active Failure,,MGAG0431,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb190
TRB0703162,,09-05-2023 13:24:40,,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447388,231,09-05-2023 13:25:06,09-05-2023 13:21:15,09-05-2023 13:24:27,Customer Equipment,,,,"après investigation, le site est sous JIRAMA et le voltage est 51.9V, aucune disjonction constatée, probléme actif.",Active Failure,Active Failure,,MGAO0349,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb191
TRB0702997,,09-05-2023 07:20:24,,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447319,293,09-05-2023 07:12:46,09-05-2023 07:07:53,09-05-2023 07:20:09,Customer Equipment,,,,"après investigation, le GE est en marche depuis 06h ; Voltage actuel sur site: 54.2V, aucune disjonction constatée, probléme actif.",Grid Supply Lost,Supplier turned off,,MGAT0297,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb192
TRB0703283,,09-05-2023 17:20:28,,Grid restored,TTO000447458,3672,09-05-2023 18:12:00,09-05-2023 17:10:48,09-05-2023 17:20:06,Grid Supply & Mains Box,,,,Grid restored,Grid Supply Lost,Supplier turned off,,MGBY0353,Resolved,Airtel,644baafacd425e8ecc0cb193
TRB0703277,,09-05-2023 17:43:37,TT.MG 056440  ,Grid restored,TTO000447466,4269,09-05-2023 18:12:00,09-05-2023 17:00:51,09-05-2023 17:42:57,Grid Supply & Mains Box,,,,Grid restored,Engine Not Starting,Not Auto start signal,,MGBY0479,Resolved,Airtel,644baafacd425e8ecc0cb194
TRB0703205,,09-05-2023 15:01:07,TT.MG 056438  ,Temporary fix carried out,TTO000447415,1757,09-05-2023 15:23:33,09-05-2023 14:54:16,09-05-2023 15:01:07,DG - Engine Start,,,,Démarrage du GE effectué.,Active Failure,Active Failure,,MGDI0338,Resolved,Airtel,644baafacd425e8ecc0cb195
TRB0703133,,09-05-2023 12:23:31,TT.MG 056424  ,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447373,1821,09-05-2023 12:08:54,09-05-2023 11:38:33,09-05-2023 12:23:03,Customer Equipment,,,,Active issue from Nord VIgie,Active Failure,Active Failure,,MGDI0362,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb196
TRB0702986,,09-05-2023 06:33:42,,Advise NOC of Active Failure - NOC advises Tenant of Active Failure,TTO000447314,313,09-05-2023 06:28:31,09-05-2023 06:23:18,09-05-2023 06:33:34,Customer Equipment,,,,aprés investigation avec le vigile le GE est en repos depuis 04h00 et le voltage est 49.8V,Active Failure,Active Failure,,MGMA0028,Awaiting Reconciliation,Airtel,644baafacd425e8ecc0cb197
